FromBuilding,ToBuilding,TimeSpare(min),TimePopular(min),SpecialNotes,IsIndoors(Y/N)
Swire Hall,Fong Shu Chuen Amenities Centre,,,,
Swire Hall,Global Lounge,,,,
T.T. Tsui Building,Fong Shu Chuen Amenities Centre,,,,
T.T. Tsui Building,Fung Ping Shan Building,,,,
T.T. Tsui Building,Tang Chi Ngong Building,,,,
Tang Chi Ngong Building,K.K. Leung Building,,,,
Tang Chi Ngong Building,T.T. Tsui Building,,,,
The Jockey Club Building,Graduate House,,,,
The Jockey Club Tower,Cheng Yu Tung Tower,,,,
The Jockey Club Tower,Chow Yei Ching Building,,,,
The Jockey Club Tower,Composite Building,,,,
The University of Hong Kong Visitor Centre,Centennial Gate,,,,
The University of Hong Kong Visitor Centre,Run Run Shaw Heritage House,,,,
The University of Hong Kong Visitor Centre,Yam Pak Building,,,,
University Drive No. 2,Robert Black College,,,,
University Lodge,Robert Black College,,,,
University Lodge,Graduate House,,,,
Wong Chuang Lai Wah Building,Wong Chue Meng Building,,,,
Wong Chue Meng Building,Wong Chuang Lai Wah Building,,,,
Yam Pak Building,Centennial Gate,,,,
Yam Pak Building,The University of Hong Kong Visitor Centre,,,,
Yu Chun Keung Tam Shuk Yin Learning Centre,Library Building (Old Wing),,,,
Yu Chun Keung Tam Shuk Yin Learning Centre,Library Building (New Wing),,,,
Yu Chun Keung Tam Shuk Yin Learning Centre,Yu Chun Keung Tam Shuk Yin Lecture Theatre,,,,
Yu Chun Keung Tam Shuk Yin Lecture Theatre,Library Building (Old Wing),,,,
Yu Chun Keung Tam Shuk Yin Lecture Theatre,Yu Chun Keung Tam Shuk Yin Learning Centre,,,,
